primaryTitle;startYear;rtRating
Cloned: The Recreator Chronicles;2012;
Bolero;1981;67%
Repentance;1984;67%
Astronaut: The Last Push;2012;
Next Stop, Christmas;2021;
War Games;2011;
Chop;2011;
The Seventh Continent;1989;67%
My Mother's Castle;1990;67%
Savitri W/o Satyamurthy;2021;
Home Alone;1990;67%
Dumb and Dumber;1994;67%
Vinodhaya Sitham;2021;
Nobody Loves Me;1994;67%
The Baby-Sitters Club;1995;67%
Desperado;1995;67%
Purge;2010;
Kiss of Death;1995;67%
D'Agostino;2012;
Margaret's Museum;1995;67%
Rogue River;2012;
Jerusalem Countdown;2011;
Dogma;1999;67%
Hunt to Kill;2010;
Scavengers;2013;
Head Over Heels;2010;
In Montauk;2012;
Piazza Fontana: The Italian Conspiracy;2012;
The End of the Affair;1999;67%
Gelecekten Bir Gun;2010;
The American Nightmare;2000;67%
Beatdown;2010;
Amen.;2002;67%
My Little Eye;2002;67%
Thunderpants;2002;67%
No Man's Land;2021;
The Mooring;2012;
Black Lightning;2009;
Prince the Fighter;2021;
Ada: Zombilerin Dugunu;2010;
Where? Wolf?;2010;
Vettaikaaran;2009;
Dybbuk: The Curse Is Real;2021;
The Year of the Yao;2004;67%
Black;2005;67%
Paleri Manikyam: Oru Pathirakolapathakathinte Katha;2009;
The Woods;2006;67%
Ram Asur;2021;
Mask Maker;2011;
Elephant White;2011;
Freerunner;2011;
Simon;2004;67%
Amazing Grace;2006;67%
Chronicle of an Escape;2006;67%
Maryada Ramanna;2010;
Simha;2010;
Steam of Life;2010;
Where God Left His Shoes;2007;67%
The Last Godfather;2010;
Reindeerspotting - Escape from Santaland;2010;
Vicky and the Treasure of the Gods;2011;
The Incite Mill;2010;
Revolutionary Road;2008;67%
The Late Bloomer;2016;
Ev;2010;
Welcome to the Sticks;2008;67%
Honeydew;2020;67%
Zero 2;2010;
The Girlfriend Experience;2009;67%
ZMD: Zombies of Mass Destruction;2009;67%
Sidewalls;2011;67%
Guzaarish;2010;67%
Good Neighbours;2010;67%
Captifs;2010;
Aa Naluguru;2004;
Allare Allari;2007;
Esrefpasalilar;2010;
Love in a Puff;2010;
Echoes of the Rainbow;2010;
The Music Never Stopped;2011;67%
Beyond Skyline;2017;67%
Prasthanam;2010;
All Things Fall Apart;2011;
After the Dark;2013;67%
Love and Other Troubles;2012;
Lauf Junge lauf;2013;
Kurt Josef Wagle og legenden om Fjordheksa;2010;
Vinnaithaandi Varuvaayaa;2010;
Asa-Nisse - Walkom to Knohult;2011;
Tanu Weds Manu Returns;2015;67%
Lootera;2013;67%
The Butterfly Room;2012;
The Barkley Marathons: The Race That Eats Its Young;2014;67%
Jolly LLB;2013;67%
Happy;2012;
The Secret Garden;2020;67%
Not the Messiah: He's a Very Naughty Boy;2010;
Dark Souls;2010;
Inner Demons;2014;67%
Bloodsucking Bastards;2015;67%
Bang Gang: A Modern Love Story;2015;67%
UNindian;2015;67%
The Isle;2018;67%
Paan Singh Tomar;2012;
Dogs;2016;67%
Victor Crowley;2017;67%
Mr Lonely;2021;
Bangkok Traffic (Love) Story;2009;
Infected;2013;
Govinda Govinda;2021;
Golden Exits;2017;67%
Honest Man: The Life of R. Budd Dwyer;2010;
Mom;2017;67%
Still/Born;2017;67%
The Lullaby;2017;67%
Sacrifice;2011;
The Skin of the Wolf;2017;67%
Triple Threat;2019;67%
Cok Filim Hareketler Bunlar;2010;
Evidence;2012;
Black Site;2018;67%
Body at Brighton Rock;2019;67%
The Perfect Date;2019;67%
Emperor;2020;67%
The Silent House;2010;
100% Wolf;2020;67%
Little Joe;2019;67%
Night Shift;2020;67%
For Lovers Only;2011;
J'accuse!;1919;67%
The Pumpkin Eater;1964;67%
Resturlaub;2011;
Big Wednesday;1978;67%
Turkisch fur Anfanger;2012;
Shapito-shou: Lyubov i druzhba;2011;
Breaking Wind;2012;
Basket Case 2;1990;67%
Helldriver;2010;
Storyville;1992;67%
Dam999;2011;
The Backwoods;2006;67%
The Pact;2012;67%
It Stains the Sands Red;2016;67%
The Final Wish;2018;67%
Johnny Got His Gun;1971;67%
Brindaavanam;2010;
National Lampoon's Christmas Vacation;1989;67%
No Mercy;2010;
Mountains of the Moon;1990;67%
Deep Blue;2003;67%
Dead Sea;2014;
Christmas Mail;2010;
16-Love;2012;
The Lives of Mount Druitt Youth;2010;
Toad Road;2012;67%
From A to B;2014;
Ibiza;2018;67%
F.A.L.T.U;2011;
Te3n;2016;67%
Little Boxes;2016;67%
Hunting Season;2010;
Wish Dragon;2021;67%
Boys vs. Girls;2019;67%
Footsteps in the Sand;2010;
Almost Love;2019;67%
Plan 9 from Outer Space;1957;66%
Guns, Girls and Gambling;2012;
Mission: Impossible;1996;66%
Bed & Breakfast: Love is a Happy Accident;2010;
She's So Lovely;1997;66%
Tilt;2010;
Women Vs Men;2011;
Men Vs Women;2010;
Spy Game;2001;66%
There Are Things You Don't Know;2010;
Cowboy Bebop: The Movie;2001;66%
Axe Giant: The Wrath of Paul Bunyan;2013;
The Last Samurai;2003;66%
Act of Vengeance;2010;
The Man Who Copied;2003;66%
Irina Palm;2007;66%
How She Move;2007;66%
Poolboy: Drowning Out the Fury;2011;
The Danish Girl;2015;66%
Pranchiyettan and the Saint;2010;
Fireheart: The Legend of Tadas Blinda;2011;
Screamers;2006;66%
The Blind Side;2009;66%
Biutiful;2010;66%
Adam;2009;66%
Filth;2013;66%
The Good Doctor;2011;66%
Trash;2014;66%
Trigun: Badlands Rumble;2010;
Love.net;2011;
Mankatha;2011;
Journal d'une femme de chambre;2015;66%
Unexpected;2015;66%
To Live!;2010;
Anthropoid;2016;66%
Lizzie;2018;66%
Wondrous Oblivion;2003;66%
The Sword in the Stone;1963;66%
Cavalcade;1933;65%
An Affair to Remember;1957;65%
Murder by Death;1976;65%
Despair;1978;65%
Cannibal Holocaust;1980;65%
Majority;2010;
Lean on Me;1989;65%
Pretty Woman;1990;65%
Wide Sargasso Sea;1993;65%
Time of Eve;2010;
Bending the Rules;2012;
Rounders;1998;65%
East/West;1999;65%
Teen Lust;2014;
In Search of the Titanic;2004;
Things We Lost in the Fire;2007;65%
Fastest;2011;
Inadequate People;2010;
Apocalypto;2006;65%
Byomkesh Bakshi;2010;
HOUBA! On the Trail of the Marsupilami;2012;
Justin Bieber: Never Say Never;2011;65%
Magic Mike XXL;2015;65%
Linsanity;2013;65%
She Wants Me;2012;
Wolfcop;2014;65%
Huevos: Little Rooster's Egg-cellent Adventure;2015;65%
Wrong Turn;2021;65%
Paranormal Activity 2: Tokyo Night;2010;
Remembrance;2011;
Pinky;1949;65%
Bodyguard;2011;
Miami Connection;1987;65%
Lunacy;2005;65%
Sleeping Dogs Lie;2006;65%
We Bought a Zoo;2011;65%
The Devil Bat;1940;64%
Gypsy;1962;64%
Ciao Manhattan;1972;64%
Pulse;1988;64%
Uncle Buck;1989;64%
Honeymoon in Vegas;1992;64%
Crook: It's Good to Be Bad;2010;
Hemel;2012;
The Crypt of Count Dracoola;2011;
Operation Shmenti Capelli;2011;
Battleground;2012;
The New Age;1994;64%
Man on the Moon;1999;64%
Yeh Saali Zindagi;2011;
eCupid;2011;
Big Eden;2000;64%
The Curse of Styria;2014;
Tad: The Lost Explorer;2012;
In the Name of the King: Two Worlds;2011;
Love Actually;2003;64%
Ghost in the Shell 2: Innocence;2004;64%
Coffee and Cigarettes;2003;64%
Game;2011;
Yamla Pagla Deewana;2011;
Saint Ralph;2004;64%
Coach Carter;2005;64%
Isolation;2005;64%
The Hobbit: An Unexpected Journey;2012;64%
French Exit;2020;64%
Exit Humanity;2011;
Cakallarla Dans;2010;
First Time Loser;2012;
The Parade;2011;
The Malay Chronicles: Bloodlines;2011;
Hachi: A Dog's Tale;2009;64%
Secretariat;2010;64%
Rogue;2020;64%
Outcast;2010;64%
The Weight of Chains;2010;
Cafe de Flore;2011;64%
Treehouse;2014;
Rudderless;2014;64%
Dark Touch;2013;64%
The Best Movie 3-DE;2011;
Tokyo Family;2013;
1915 Armenian Genocide;2010;
Sex Ed;2014;64%
Detective Byomkesh Bakshy!;2015;64%
Mardaani;2014;64%
One Night in Istanbul;2014;
Cool Kids Don't Cry;2012;
See You in Montevideo;2014;
Awake: The Life of Yogananda;2014;64%
I Am Ali;2014;64%
Promise at Dawn;2017;64%
Lost Christmas;2011;
Never Open the Door;2014;
Dead Ant;2017;64%
Man, Chicks Are Just Different;2011;
Losers' Club;2011;
St. Agatha;2018;64%
The Day Shall Come;2019;64%
Humans vs Zombies;2011;
The Crown Jewels;2011;
Another Me;2013;
Section 375;2019;64%
Annabelle Comes Home;2019;64%
Freaks of Nature;2015;
Child's Play;2019;64%
Traffic;2011;
A Perfect Ending;2012;
Sibir. Monamur;2011;
95ers: Echoes;2013;
The Light Bulb Conspiracy;2010;
Game Over;2019;64%
Avalon;2011;
Asmaa;2011;
Cargo;2019;64%
Life Cycles;2010;
Shagird;2011;
One Million Years B.C.;1966;64%
Far from the Madding Crowd;1967;64%
Rascals;2011;
Shala;2011;
The Thompsons;2012;
The Whales of August;1987;64%
Supernatural Activity;2012;
Scary or Die;2012;
Zizek!;2005;64%
Bleak Night;2010;
It Watches;2016;64%
City Girl;1930;63%
Kronos;1957;63%
Circles;2013;
Recoil;2011;
Children's Party;2011;
Demonic;2015;
Winning Streak;2012;
Yutham Sei;2011;
The Wild Angels;1966;63%
Sadako 3D;2012;
The Way We Were;1973;63%
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~;2011;
Foo Fighters: Back and Forth;2011;
Popeye;1980;63%
Aliens vs. Avatars;2011;
Lost Highway;1997;63%
No Vacancy;2012;
SLC Punk!;1998;63%
The Princess and the Warrior;2000;63%
The Salton Sea;2002;63%
Clerks II;2006;63%
Deiva Thirumagal;2011;
Blood Diamond;2006;63%
Blood Car;2007;63%
A Little Thing Called Love;2010;
The Man Who Knew Infinity;2015;63%
Children...;2011;
The Employer;2013;
The Island;2006;63%
Black Friday;2021;63%
Ricky;2009;63%
The 8th Night;2021;63%
Contratiempo;2011;
Remains;2011;
Knights of Badassdom;2013;63%
Free Samples;2012;63%
Howl;2015;63%
Ugly;2013;63%
Tamasha;2015;63%
Static;2012;
Worlds Apart;2015;63%
Noobz;2012;
The Package;2012;
Catch .44;2011;
Teen Maar;2011;
The Day of the Crows;2012;
Once Upon a Time in Mumbaai Dobara;2013;
The Hoarder;2015;
Model Minority;2012;
Day of the Siege;2012;
Brian Banks;2018;63%
The Bad Education Movie;2015;63%
I Think We're Alone Now;2018;63%
My Son;2017;63%
Agir abi;2011;
Alien Armageddon;2011;
Swing Kids;2018;63%
A Little Bit Zombie;2012;
Time of My Life;2012;
Driven;2019;63%
Badla;2019;63%
Greatland;2020;63%
Gretel & Hansel;2020;63%
The Banana Splits Movie;2019;63%
Mall;2014;
Officer Down;2013;
King Kong Escapes;1967;63%
The Secret of Santa Vittoria;1969;63%
The 25th Reich;2012;
Cremaster 3;2002;63%
Realms;2017;
Harry Brown;2009;63%
The Red Chapel;2009;63%
The First Deadly Sin;1980;63%
Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack;2001;63%
The Machine Girl;2008;63%
In the Good Old Summertime;1949;62%
Always Kabhi Kabhi;2011;
On the Other Side of the Tracks;2012;
Sunny;2011;
The Wicked Within;2015;
Abu, Son of Adam;2011;
The Lookout;2012;
Crazy Kind of Love;2013;
Hatari!;1962;62%
Dear God No!;2011;
Who Gets the Dog?;2016;
Hell Night;1981;62%
Out of Africa;1985;62%
Balas & Bolinhos: O Ultimo Capitulo;2012;
The Hitcher;1986;62%
Three O'Clock High;1987;62%
U2: Rattle and Hum;1988;62%
Enlightenment Guaranteed;1999;62%
Pokemon the Movie: Black - Victini and Reshiram;2011;
Dark Blue World;2001;62%
Hulk;2003;62%
Interreflections;2020;
Cabin Fever;2002;62%
The Fall;2006;62%
Box Office 3D: The Filmest of Films;2011;
The Express;2008;62%
Cthulhu;2007;62%
Nisos 2: To kynigi tou hamenou thisavrou;2011;
Rurouni Kenshin Part I: Origins;2012;
Furious;2011;
Joshua;2007;62%
True Bloodthirst;2012;
Turn the River;2007;62%
The Test;2012;
Trap.com;2011;
Naalaiya Theerpu;1992;
Salt n' Pepper;2011;
Nocturne;2020;62%
The Manor;2021;62%
Retreat;2011;62%
The Dish & the Spoon;2011;62%
Mandela: Long Walk to Freedom;2013;62%
Darling Nikki;2019;
Naadodigal;2009;
Home from Home: Chronicle of a Vision;2013;
Naruto Shippuden the Movie: Blood Prison;2011;
Money for Nothing: Inside the Federal Reserve;2013;62%
Anguish;2015;62%
Tekken: Blood Vengeance;2011;
Divorce Invitation;2012;
Night of the Living Dead: Resurrection;2012;
The Greasy Strangler;2016;62%
The Osiris Child;2016;62%
The Mind's Eye;2015;62%
Half Magic;2018;62%
Plan 9;2015;
Lying and Stealing;2019;62%
Hostage Radio;2019;62%
Runway;2010;
Swamp Thing;1982;62%
Love Bite;2012;
Ernest Goes to Camp;1987;62%
Journey to the Christmas Star;2012;
You Are the Apple of My Eye;2011;
The Last Shot;2004;62%
Goodbye to All That;2014;62%
The Ant Bully;2006;62%
The World Made Straight;2015;62%
Insectula!;2015;
Real Playing Game;2013;
Rose;2011;
The High;1985;
Daruchini Dwip;2007;
Uri: The Surgical Strike;2019;62%
One-Eyed Jacks;1961;61%
Revenge for Jolly!;2012;
Jaws 2;1978;61%
Blindsided;2013;
Adventures of Serial Buddies;2011;
The Foster Boy;2011;
Box of Moonlight;1996;61%
Devil Seed;2012;
Zombie Ass: Toilet of the Dead;2011;
From Dusk Till Dawn;1996;61%
Slam;1998;61%
The Assassins;2012;
I, Me aur Main;2013;
Rocketman;2019;
The Third Half;2012;
Swimming Upstream;2003;61%
Silenced;2011;
The Terminal;2004;61%
Jurassic Shark;2012;
7 Nights of Darkness;2011;
Journey to the Center of the Earth;2008;61%
Lord of War;2005;61%
Love Songs;2007;61%
My Bloody Valentine;2009;61%
Love the Beast;2009;61%
The Phantom of the Opera at the Royal Albert Hall;2011;
Key of Life;2012;
Indian Rupee;2011;
The Concert;2009;61%
The Liability;2012;61%
Zombie Massacre;2013;
Always;2011;
Once Upon a Time in Phuket;2011;
Trial by Fire;2018;61%
Kill Zombie!;2012;
Yakuza Apocalypse;2015;61%
Carnage Park;2016;61%
Punch;2011;
Summer '03;2018;61%
Psycho III;1986;61%
Aug/08;2012;
Robot Overlords;2014;61%
Attack of the 50 Foot Cheerleader;2012;
Initiation;2020;61%
Jack Brooks: Monster Slayer;2007;61%
Dare;2009;61%
War Dogs;2016;61%
Dames;1934;60%
Beyond the Hill;2012;
ThanksKilling 3;2012;
Charlie Chan at the Race Track;1936;60%
Schutzengel;2012;
The Great Lie;1941;60%
My Cousin Rachel;1952;60%
Beneath the 12-Mile Reef;1953;60%
Swelter;2014;
Invasion of the Saucer Men;1957;60%
Michael Jackson: the Life of an Icon;2011;
Kapo;1960;60%
Musallat 2: Lanet;2011;
Beyond the Time Barrier;1960;60%
Town Without Pity;1961;60%
Maximum Conviction;2012;
Expiration;2011;
Our Mother's House;1967;60%
Ben;1972;60%
Up the Sandbox;1972;60%
Immoral Tales;1973;60%
Swept Away;1974;60%
Breathless;1983;60%
One Deadly Summer;1983;60%
Bright Lights, Big City;1988;60%
Tapeheads;1988;60%
The Kirishima Thing;2012;
Sen Kimsin?;2012;
Cows;1992;60%
Orange Suit;2012;
Chaplin;1992;60%
My Grandfather's People;2011;
A Story of Yonosuke;2012;
Subramaniapuram;2008;
Fear Clinic;2014;
The Preacher's Wife;1996;60%
Party Monster;1998;60%
Gone with the Bullets;2014;
Beautiful Joe;2000;60%
Zila Ghaziabad;2013;
Dead Mine;2012;
Spirit;2012;
The Smell of Us;2014;
Old School;2003;60%
Sprung! The Magic Roundabout;2005;60%
Son of Sardaar;2012;
Believe in Me;2006;60%
How Much Do You Love Me?;2005;60%
The Last Showing;2014;
School Dance;2014;
Crowsnest;2012;
The Aerial;2007;60%
The Devil's Chair;2007;60%
Nanban;2012;
Unbelievable!!!!!;2020;
The Village;2015;
4 Roses;2019;
Guilty;2020;60%
RocknRolla;2008;60%
Department;2012;
Birds of Paradise;2021;60%
Little Nicholas;2009;60%
Living;2012;
Don't Be Afraid of the Dark;2010;60%
Jodi Breakers;2012;
Trash Humpers;2009;60%
Gizem Birimi;2013;
Kokowaah 2;2013;
A Horrible Way to Die;2010;60%
The Veteran;2011;60%
Kumare;2011;60%
Maggie;2015;60%
Eyjafjallajokull;2013;
Glee: The 3D Concert Movie;2011;60%
Montana;2014;
Did You... Score?;2012;
Battle of the Damned;2013;
Berserk: The Golden Age Arc I - The Egg of the King;2012;
Yevadu;2014;
All the Wilderness;2014;60%
The Remaining;2014;60%
Daddy's Little Girl;2014;
Gridlocked;2015;60%
Lazer Team;2015;60%
From Beneath;2012;
Black;2015;60%
Vai que da Certo;2013;
Home;2016;60%
Return to Nim's Island;2013;
Terrifier;2016;60%
It Had to Be You;2015;60%
Saguni;2012;
Dark;2015;
Honeymoon;2015;60%
Jism 2;2012;
Wer;2013;
Chashme Baddoor;2013;
I Am the Pretty Thing That Lives in the House;2016;60%
Houston, We Have a Problem!;2016;60%
Amateur;2018;60%
Bent;2018;
An Interview with God;2018;60%
Hold Your Breath;2012;
Planet Ocean;2012;
Drown;2015;
Horsehead;2014;
Final Cut: Ladies and Gentlemen;2012;
High Rise Life - The Movie;2012;
It's for Your Own Good;2017;60%
The Tag-Along 2;2017;60%
Tyrel;2018;60%
Carry on Jatta;2012;
Kano;2014;
Tulpa: Demon of Desire;2012;
Rajma Chawal;2018;60%
Sean Banan inuti Seanfrika;2012;
Gutshot Straight;2014;
The Staircase II: The Last Chance;2013;
Trespassers;2018;60%
Us and Them;2018;60%
Saina;2021;60%
Ishq;2012;
Second Show;2012;
He Died with a Felafel in His Hand;2001;60%
End of a Gun;2016;
Captain Pantoja and the Special Services;1999;60%
Megan Is Missing;2011;60%
Vegetarian Cannibal;2012;
Dark Cove;2016;
Beyond the Edge;2016;
Breeder;2020;60%
Hostage to the Devil;2016;60%
Kac Wawa;2012;
Porn in the Hood;2012;
OMG: Oh My God!;2012;
The Mafia Kills Only in Summer;2013;60%
The Appearing;2014;
Chimera Strain;2018;60%
The Billionaire;2011;
In a Relationship;2018;60%
Scorned;2013;
It Happened in Saint-Tropez;2013;
Charlie Chan's Secret;1936;60%
The Wild and Wonderful Whites of West Virginia;2009;60%
The Fields;2011;60%
Puppet Master X: Axis Rising;2012;
The Pact;2018;60%
Skin Walker;2019;60%
Die Hard with a Vengeance;1995;59%
Four Days in September;1997;59%
Deep Blue Sea;1999;59%
Cherry Falls;2000;59%
Skins;2002;59%
All About the Money;2017;
Breakout;2013;
Easy;2003;59%
The Great Passage;2013;
The Stoning of Soraya M.;2008;59%
A Viking Saga: The Darkest Day;2013;
Back on Track;2013;
House of Bodies;2013;
Sherlock Holmes: A Game of Shadows;2011;59%
Mee Shivajiraje Bhosale Boltoy;2009;
Any Questions for Ben?;2012;59%
Almost Human;2013;
City of Tiny Lights;2016;59%
Bagavathi;2002;
Would You Rather;2012;59%
Cameraman Gangatho Rambabu;2012;
The Hobbit: The Battle of the Five Armies;2014;59%
Ping Pong Summer;2014;59%
Dreamland;2019;59%
The Intergalactic Adventures of Max Cloud;2020;59%
The Yakuza;1974;59%
Bottom of the World;2017;
Wanderlust;2012;59%
Unicorn Store;2017;
Line of Duty;2019;59%
The Music Lovers;1971;59%
Himmatwala;2013;
Human Traffic;1999;59%
Bhooter Bhabishyat;2012;
The Prize Winner of Defiance, Ohio;2005;59%
Hannah Takes the Stairs;2007;59%
Taken;2008;59%
Defiance;2008;59%
The Boat That Rocked;2009;59%
The End of Love;2012;59%
Berserk: The Golden Age Arc II - The Battle for Doldrey;2012;
The Intern;2015;59%
Shaft in Africa;1973;58%
Maniac Cop 2;1990;58%
22 Female Kottayam;2012;
Kill or Be Killed;2015;
Dead & Breakfast;2004;58%
Bab'Aziz: The Prince That Contemplated His Soul;2005;58%
The Stoneman Murders;2009;58%
The Day of the Living Dead;2014;
Lord of Tears;2013;
Breaking Boundaries: The Science of Our Planet;2021;58%
Eddie: The Sleepwalking Cannibal;2012;58%
Vanishing of the Bees;2009;58%
All I Need;2016;
Secrets of War;2014;
Paranormal Activity 2;2010;58%
Sweet Little Lies;2012;
Gintama the Movie: The Final Chapter - Be Forever Yorozuya;2013;
Solo;2013;
Frankenstein's Army;2013;58%
Absolutely Fabulous: The Movie;2016;58%
Escape from Tomorrow;2013;58%
Interior. Leather Bar.;2013;58%
The Haunting of Helena;2012;
Partisan;2015;58%
Desolation;2016;58%
Mrs. Hyde;2017;58%
Kaabil;2017;58%
Thanatomorphose;2012;
Somewhere in Time;1980;58%
9;2009;58%
Film socialisme;2010;58%
Dhenikaina Ready;2012;
Jumping the Broom;2011;58%
1;2013;
The Dressmaker;2015;58%
Lemon Tree Passage;2014;
The Haunting of Whaley House;2012;
Colosio;2012;
Bite;2015;58%
Tesla;2020;58%
Fun in Acapulco;1963;57%
Ebirah, Horror of the Deep;1966;57%
The Big Sleep;1978;57%
Neighbors;1981;57%
The Doors;1991;57%
Mortal Thoughts;1991;57%
The 7th Floor;2013;
Mallrats;1995;57%
Kumki;2012;
Blade;1998;57%
Dr. T & the Women;2000;57%
Beat;2000;57%
The Princess Blade;2001;57%
The Maid;2014;
Inner Worlds, Outer Worlds;2012;
00 Schneider - Im Wendekreis der Eidechse;2013;
Breakfast on Pluto;2005;57%
Confetti;2006;57%
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo;2013;
The 5th Quarter;2010;57%
Bigfoot: The Lost Coast Tapes;2012;57%
Bachelorette;2012;57%
Chambaili;2013;
Yeh Jawaani Hai Deewani;2013;57%
A Castle in Italy;2013;57%
Real;2013;57%
Woman in Gold;2015;57%
40 Days and Nights;2012;
Naayak;2013;
Zombie Hunter;2013;
The Atticus Institute;2015;57%
Phantasm: Ravager;2016;57%
Brother Nature;2016;57%
Lolo;2015;57%
They Remain;2018;57%
Park Avenue: Money, Power and the American Dream;2012;
The Rack Pack;2016;
Tales of an Immoral Couple;2016;57%
Hickok;2017;57%
Heavenly Shift;2013;
The Beach Bum;2019;57%
Witches in the Woods;2019;57%
The Mountain;2012;
Sibyl;2019;57%
Mr. Skeffington;1944;57%
No Small Affair;1984;57%
Ayalum Njanum Thammil...;2012;
Sr. Pig;2016;57%
To Love Somebody;2014;
Noor;2017;57%
Graduation Day;1981;57%
Looney Tunes: Back in Action;2003;57%
In Old Arizona;1928;56%
Corvette Summer;1978;56%
Prom Night II;1987;56%
Garm Wars: The Last Druid;2014;
Powaqqatsi;1988;56%
Where the Trail Ends;2012;
Blood of Redemption;2013;
Immortal Beloved;1994;56%
Yamla Pagla Deewana 2;2013;
A Talking Cat!?!;2013;
The Monkey's Paw;2013;
1;2013;
The Book of Esther;2013;
Balto;1995;56%
The Big Tease;1999;56%
Chariot;2013;
The Santa Clause 2;2002;56%
I Survived a Zombie Holocaust;2014;
App;2013;
Wazir;2016;56%
The Rocket;2005;56%
Kaali Khuhi;2020;56%
Identicals;2015;
The Princess Switch: Switched Again;2020;56%
Afterlife of the Party;2021;56%
Pokemon the Movie: Kyurem vs. the Sword of Justice;2012;
Dil Bole Hadippa;2009;56%
Ghadi;2013;
Holiday: A Soldier is Never Off Duty;2014;
We Need to Do Something;2021;56%
The Roundup;2010;56%
Skybound;2017;
Miss Lovely;2012;56%
Naduvula Konjam Pakkatha Kaanom;2012;
Television;2012;
The Laughing Mask;2014;
Universal Soldier: Day of Reckoning;2012;56%
The Devil's Rock;2011;56%
Becoming;2020;
The To Do List;2013;56%
Special ID;2013;56%
Krampus: The Christmas Devil;2013;
I;2015;56%
Bare;2015;56%
Fathers & Daughters;2015;
The Lodgers;2017;56%
Assimilate;2019;56%
Rabid;2019;56%
Louis Theroux: Law and Disorder in Philadelphia;2008;
Pizza;2012;
A Matter of Faith;2014;
Bojhena Shey Bojhena;2012;
Blackmail;2018;56%
Dancin': It's on!;2015;
Wahed men el nas;2007;
The Butterfly's Dream;2013;
Celal and Ceren;2013;
Ma;2019;56%
Phata Poster Nikhla Hero;2013;
The Big Take;2018;
Come Play;2020;56%
Chained Heat;1983;56%
Avalanche Sharks;2014;
Look Who's Talking;1989;56%
Kaaviya Thalaivan;2014;
Die Prasenz;2014;
Living on One Dollar;2013;
The Best Offer;2013;56%
Laal Rang;2016;56%
Romantik Komedi 2: Bekarliga Veda;2013;
The Horror of Frankenstein;1970;55%
Tora! Tora! Tora!;1970;55%
Frau Ella;2013;
Into the Mind;2013;
Jatt & Juliet 2;2013;
The Hunter's Prayer;2017;
1900;1976;55%
Fellini's Casanova;1976;55%
1969;1988;55%
Poseidon Rex;2013;
Cadillac Man;1990;55%
Return of the Living Dead III;1993;55%
Payback;1999;55%
The Little Vampire;2000;55%
Home Room;2002;55%
Hatchet;2006;55%
Shake Hands with the Devil;2007;55%
Subject Two;2006;55%
Body of Lies;2008;55%
Celluloid;2013;
Turner Risk;2019;
Hide & Seek;2014;
Thale;2012;55%
Two Ways Home;2019;
Some Girl(S);2013;55%
Flashback;2020;55%
Peninsula;2020;55%
George of the Jungle;1997;55%
Blow;2001;55%
Dara of Jasenovac;2020;55%
Attack of the Lederhosen Zombies;2016;55%
Acts of Vengeance;2017;55%
Debug;2014;
Nothing in Common;1986;54%
Aria;1987;54%
Pee Mak;2013;
Being Human;1994;54%
Jay and Silent Bob's Super Groovy Cartoon Movie;2013;
A Very Brady Sequel;1996;54%
El-Cin;2013;
Way Back Home;2013;
The Legend of 1900;1998;54%
Troy;2004;54%
Flipped;2010;54%
Indigenous;2014;
The Perfect Husband;2014;
Shershaah;2021;54%
Schumacher;2021;54%
Agora;2009;54%
Extraction;2013;
Deadly Virtues: Love.Honour.Obey.;2014;
Crows Explode;2014;
Fandry;2013;
Punk's Dead: SLC Punk 2;2016;
Fiston;2014;
Gunde Jaari Gallanthayyinde;2013;
The Painting Pool;2013;
Some Velvet Morning;2013;54%
Little Accidents;2014;54%
Jack of the Red Hearts;2015;54%
A Fighting Man;2014;
Madras Cafe;2013;
Crash Pad;2017;54%
All the World in a Design School;2015;
The Dead Don't Die;2019;54%
Gothic;1986;54%
The Promotion;2008;54%
Manufacturing Dissent;2007;54%
A Week Away;2021;54%
Brother;2010;54%
I Spit on Your Grave;1978;53%
Lassiter;1984;53%
Light of Day;1987;53%
Enclave;2015;
High Heels;1991;53%
Stargate;1994;53%
All Hallows' Eve;2013;
Torment;2013;
Girl, Interrupted;1999;53%
Kummeli V;2014;
Alex & The List;2017;
Blood Widow;2014;
Tiger House;2015;
Cats & Dogs;2001;53%
Paid in Full;2002;53%
Neram;2013;
Crazy as Hell;2002;53%
The Last Scout;2017;
Higher Power;2018;
Mumbai Police;2013;
The Crocodile Hunter: Collision Course;2002;53%
The Snare;2017;
The Notebook;2004;53%
Actor for Hire;2015;
November Tenth;2015;
Train Driver's Diary;2016;
Pirates of the Caribbean: Dead Man's Chest;2006;53%
The Family That Preys;2008;53%
The Humbling;2014;53%
Black Rock;2012;53%
Encanto;2021;
Viral;2016;53%
One More Time;2015;53%
The Hive;2014;53%
Killing Hasselhoff;2017;
Cool Cat Saves the Kids;2015;
Lakshmi;2014;
Hollow in the Land;2017;53%
Sex, Love & Therapy;2014;
Five Feet Apart;2019;53%
Song of the South;1946;53%
Romanzo Criminale;2005;53%
47 Meters Down;2017;53%
13/13/13;2013;
De nieuwe wildernis;2013;
Fiebre Salsera;2016;
Unbeatable;2013;
Audrey Rose;1977;53%
Stromberg - Der Film;2014;
Eat;2014;
My First Mister;2001;53%
Escape from L.A.;1996;52%
Angela's Ashes;1999;52%
Rurouni Kenshin Part II: Kyoto Inferno;2014;
Bachelor;2004;
Extinction;2014;
